timestamp,question,answer,confidence,reason,status
2026-03-30T18:57:24.917980,What is the difference between IaaS and SaaS?,The system uses confidence scoring to evaluate answer quality and flags low-confidence responses for human review.,0.629,Weak retrieval,pending
2026-03-30T18:57:58.094485,what is cloud computing?,The system uses confidence scoring to evaluate answer quality and flags low-confidence responses for human review.,0.629,Weak retrieval,pending
2026-03-30T19:05:39.404330,what is cloud computing,The system uses confidence scoring to evaluate answer quality and flags low-confidence responses for human review.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-30T19:06:29.853949,List the types of cloud services.,The system uses confidence scoring to evaluate answer quality and flags low-confidence responses for human review.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-30T19:08:17.020400,what is cloud computing,The system uses confidence scoring to evaluate answer quality and flags low-confidence responses for human review.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-30T19:09:06.997604,List the types of cloud services.,The system uses confidence scoring to evaluate answer quality and flags low-confidence responses for human review.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-30T19:15:20.925586,what is coud computing?,The system uses confidence scoring to evaluate answer quality and flags low-confidence responses for human review.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-30T19:17:17.992729,what is cloud computing?,The system uses confidence scoring to evaluate answer quality and flags low-confidence responses for human review.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-30T19:23:01.399576,what is cloud computing?,The system uses confidence scoring to evaluate answer quality and flags low-confidence responses for human review.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-30T19:26:33.164966,what is cloud computing?,The system uses confidence scoring to evaluate answer quality and flags low-confidence responses for human review.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-30T19:27:23.469745,what is iaas?,I don't have enough information to answer this question confidently.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-30T19:27:46.220521,List the types of cloud services,The system uses confidence scoring to evaluate answer quality and flags low-confidence responses for human review.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-30T19:28:14.671539,Name three major cloud providers,The system uses confidence scoring to evaluate answer quality and flags low-confidence responses for human review.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T18:24:31.588107,what is cloud computing?,The system uses confidence scoring to evaluate answer quality and flags low-confidence responses for human review.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T18:24:49.593727,diffrance between iaas pass,I don't have enough information to answer this question confidently.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T18:25:11.966023,what is cloud computing?,The system uses confidence scoring to evaluate answer quality and flags low-confidence responses for human review.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T18:29:18.132503,what is cloud computing?,The system uses confidence scoring to evaluate answer quality and flags low-confidence responses for human review.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T18:32:56.558120,what is in my uploded documents?,The system uses confidence scoring to evaluate answer quality and flags low-confidence responses for human review.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T18:42:13.130483,what is the diffrance between iaas and paas,I don't have enough relevant information in the uploaded documents to answer this question confidently.,0.303,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T18:55:34.314142,what is artificial intelligence?,I don't have enough relevant information in the uploaded documents to answer this question confidently.,0.39,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T19:21:00.352864,what is artifical intelligance,I don't have any documents loaded yet. Please upload a document first.,0.0,No chunks retrieved,pending
2026-03-31T19:21:36.290237,what is artificial intelligence?,I don't have any documents loaded yet. Please upload a document first.,0.0,No chunks retrieved,pending
2026-03-31T19:28:02.157209,what is vector database,I don't have enough relevant information in the uploaded documents to answer this question confidently.,0.496,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T19:28:52.126484,what is cloud computing?,"Cloud computing is the delivery of computing services—including servers, storage, databases, networking, software, analytics, and intelligence—over the Internet ('the cloud').",0.437,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T19:35:06.493804,What is RAG?,RAG stands for Retrieval-Augmented Generation. It retrieves relevant document chunks and uses them to generate accurate answers.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T19:36:03.114336,What is RAG?,RAG stands for Retrieval-Augmented Generation. It retrieves relevant document chunks and uses them to generate accurate answers.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T19:40:05.447294,What is RAG and how does it work?,RAG stands for Retrieval-Augmented Generation. It retrieves relevant document chunks and uses them to generate accurate answers.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T19:44:19.320877,What is RAG and how does it work?,RAG stands for Retrieval-Augmented Generation. It retrieves relevant document chunks and uses them to generate accurate answers.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T19:44:19.413438,What is FAISS used for?,I don't have enough relevant information in the uploaded documents to answer this question confidently.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T19:45:06.552031,What is RAG and how does it work?,RAG stands for Retrieval-Augmented Generation. It retrieves relevant document chunks and uses them to generate accurate answers.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T19:45:06.873399,What is cloud computing?,I don't have enough relevant information in the uploaded documents to answer this question confidently.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T19:45:53.113268,What is RAG and how does it work?,RAG stands for Retrieval-Augmented Generation. It retrieves relevant document chunks and uses them to generate accurate answers.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T19:48:23.038476,What is RAG and how does it work?,"RAG (Retrieval-Augmented Generation) is a technique that retrieves relevant document chunks using hybrid search and then uses an LLM to generate accurate, grounded answers.",0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T19:48:23.134935,What is FAISS used for?,FAISS is a library for fast similarity search over vector embeddings. It enables quick retrieval of semantically similar chunks.,0.344,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T19:48:23.228808,Explain hybrid retrieval in this system,"RAG (Retrieval-Augmented Generation) is a technique that retrieves relevant document chunks using hybrid search and then uses an LLM to generate accurate, grounded answers.",0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T19:48:23.320516,What is Sentence-BERT?,Sentence-BERT is used to convert text into dense vector embeddings so that semantically similar sentences are close in vector space.,0.342,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T19:48:23.424861,What is cloud computing?,I don't have enough relevant information in the uploaded documents to answer this confidently.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T19:54:01.454872,What is RAG and how does it work?,I don't have enough relevant information in the uploaded documents to answer this confidently.,0.346,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T19:54:01.545140,What is FAISS used for?,FAISS is a library for fast similarity search over vector embeddings. It enables quick retrieval of semantically similar chunks.,0.388,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T19:54:01.632804,Explain hybrid retrieval in this system,I don't have enough relevant information in the uploaded documents to answer this confidently.,0.346,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T19:54:01.714289,What is Sentence-BERT?,Sentence-BERT is used to convert text into dense vector embeddings so that semantically similar sentences are close in vector space.,0.386,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-04-02T06:51:53.997667,What is RAG and how does it work?,"RAG (Retrieval-Augmented Generation) is a technique that retrieves relevant document chunks using hybrid search and then uses an LLM to generate accurate, grounded answers.",0.346,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-04-02T06:51:54.126639,What is FAISS used for?,I don't have enough relevant information in the uploaded documents to answer this confidently.,0.345,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-04-02T06:51:54.838196,Explain hybrid retrieval in this system,"RAG (Retrieval-Augmented Generation) is a technique that retrieves relevant document chunks using hybrid search and then uses an LLM to generate accurate, grounded answers.",0.346,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-04-02T06:51:55.759924,What is Sentence-BERT?,Sentence-BERT is used to convert text into dense vector embeddings so that semantically similar sentences are close in vector space.,0.386,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-04-02T07:00:28.985951,What is RAG and how does it work?,RAG (Retrieval-Augmented Generation) retrieves relevant document chunks using hybrid search (FAISS + BM25) and then uses an LLM to generate grounded answers.,0.346,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-04-02T07:00:29.076274,What is FAISS used for?,I don't have enough relevant information in the uploaded documents to answer this question confidently.,0.345,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-04-02T07:00:29.155473,Explain hybrid retrieval in this system,I don't have enough relevant information in the uploaded documents to answer this question confidently.,0.346,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-04-02T07:00:29.237429,What is Sentence-BERT?,Sentence-BERT converts text into dense vector embeddings so that similar meanings are close in vector space.,0.346,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-04-02T07:00:29.315316,What is cloud computing?,I don't have enough relevant information in the uploaded documents to answer this question confidently.,0.341,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-04-02T07:04:07.946985,What is RAG and how does it work?,"RAG (Retrieval-Augmented Generation) is a powerful technique that first retrieves relevant document chunks using hybrid search (FAISS semantic + BM25 keyword) and then uses an LLM to generate accurate, grounded answers.",0.346,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-04-02T07:04:08.051902,What is FAISS used for?,FAISS is a library developed by Facebook that enables extremely fast similarity search over millions of vector embeddings.,0.388,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-04-02T07:04:08.146577,Explain hybrid retrieval in this system,"RAG (Retrieval-Augmented Generation) is a powerful technique that first retrieves relevant document chunks using hybrid search (FAISS semantic + BM25 keyword) and then uses an LLM to generate accurate, grounded answers.",0.346,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-04-02T07:04:08.236382,What is Sentence-BERT?,Sentence-BERT is a model that converts text into dense vector embeddings so that sentences with similar meanings are close together in vector space.,0.346,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-04-02T07:07:08.245106,What is RAG and how does it work?,"RAG (Retrieval-Augmented Generation) is a powerful technique that first retrieves relevant document chunks using hybrid search (FAISS semantic + BM25 keyword) and then uses an LLM to generate accurate, grounded answers.",0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-04-02T07:07:08.342775,What is FAISS used for?,I don't have enough relevant information in the uploaded documents to answer this question confidently.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-04-02T07:07:08.431239,Explain hybrid retrieval in this system,"RAG (Retrieval-Augmented Generation) is a powerful technique that first retrieves relevant document chunks using hybrid search (FAISS semantic + BM25 keyword) and then uses an LLM to generate accurate, grounded answers.",0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-04-02T07:07:08.528229,What is Sentence-BERT?,Sentence-BERT is a model that converts text into dense vector embeddings so that sentences with similar meanings are close together in vector space.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-04-02T07:07:08.615504,What is cloud computing?,I don't have enough relevant information in the uploaded documents to answer this question confidently.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-04-02T07:12:30.002819,What is RAG and how does it work?,"RAG (Retrieval-Augmented Generation) is a powerful technique that first retrieves relevant document chunks using hybrid search (FAISS semantic + BM25 keyword) and then uses an LLM to generate accurate, grounded answers.",0.309,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-04-02T07:12:30.118201,What is FAISS used for?,FAISS is a library developed by Facebook that enables extremely fast similarity search over millions of vector embeddings.,0.352,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-04-02T07:12:30.215157,Explain hybrid retrieval in this system,"RAG (Retrieval-Augmented Generation) is a powerful technique that first retrieves relevant document chunks using hybrid search (FAISS semantic + BM25 keyword) and then uses an LLM to generate accurate, grounded answers.",0.309,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-04-02T07:12:30.314873,What is Sentence-BERT?,Sentence-BERT is a model that converts text into dense vector embeddings so that sentences with similar meanings are close together in vector space.,0.309,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-04-02T07:18:56.282466,What is RAG and how does it work?,"RAG (Retrieval-Augmented Generation) is a powerful technique that first retrieves relevant document chunks using hybrid search (FAISS semantic + BM25 keyword) and then uses an LLM to generate accurate, grounded answers.",0.35,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-04-02T07:18:56.465524,What is FAISS used for?,FAISS is a library developed by Facebook that enables extremely fast similarity search over millions of vector embeddings.,0.393,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-04-02T07:18:56.635135,Explain hybrid retrieval in this system,"RAG (Retrieval-Augmented Generation) is a powerful technique that first retrieves relevant document chunks using hybrid search (FAISS semantic + BM25 keyword) and then uses an LLM to generate accurate, grounded answers.",0.35,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-04-02T07:18:56.857624,What is Sentence-BERT?,Sentence-BERT is a model that converts text into dense vector embeddings so that sentences with similar meanings are close together in vector space.,0.35,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-04-02T07:35:00.869088,What is RAG and how does it work?,I don't have any documents loaded yet. Please upload a document first.,0.0,No chunks retrieved,pending
2026-04-02T07:35:00.931810,What is FAISS used for?,I don't have any documents loaded yet. Please upload a document first.,0.0,No chunks retrieved,pending
2026-04-02T07:35:00.994145,Explain hybrid retrieval in this system,I don't have any documents loaded yet. Please upload a document first.,0.0,No chunks retrieved,pending
2026-04-02T07:35:01.057189,What is Sentence-BERT?,I don't have any documents loaded yet. Please upload a document first.,0.0,No chunks retrieved,pending
2026-04-02T07:35:01.119797,What is cloud computing?,I don't have any documents loaded yet. Please upload a document first.,0.0,No chunks retrieved,pending
2026-04-02T07:52:18.703370,What is RAG and how does it work?,I don't have any documents loaded yet. Please upload a document first.,0.0,No chunks retrieved,pending
2026-04-02T07:52:18.779024,What is FAISS used for?,I don't have any documents loaded yet. Please upload a document first.,0.0,No chunks retrieved,pending
2026-04-02T07:52:18.842011,Explain hybrid retrieval in this system,I don't have any documents loaded yet. Please upload a document first.,0.0,No chunks retrieved,pending
2026-04-02T07:52:18.915439,What is Sentence-BERT?,I don't have any documents loaded yet. Please upload a document first.,0.0,No chunks retrieved,pending
2026-04-02T07:52:18.984247,What is cloud computing?,I don't have any documents loaded yet. Please upload a document first.,0.0,No chunks retrieved,pending
2026-04-02T07:54:19.331561,What is RAG and how does it work?,I don't have enough relevant information in the uploaded documents to answer this question confidently.,0.3,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-04-02T07:54:19.465383,What is FAISS used for?,FAISS is a library developed by Facebook that enables extremely fast similarity search over millions of vector embeddings.,0.343,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-04-02T07:54:19.597868,Explain hybrid retrieval in this system,"RAG (Retrieval-Augmented Generation) is a powerful technique that first retrieves relevant document chunks using hybrid search (FAISS semantic + BM25 keyword) and then uses an LLM to generate accurate, grounded answers.",0.3,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-04-02T07:54:19.723709,What is Sentence-BERT?,Sentence-BERT is a model that converts text into dense vector embeddings so that sentences with similar meanings are close together in vector space.,0.3,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-04-02T07:55:45.604381,What is RAG and how does it work?,"RAG (Retrieval-Augmented Generation) is a powerful technique that first retrieves relevant document chunks using hybrid search (FAISS semantic + BM25 keyword) and then uses an LLM to generate accurate, grounded answers.",0.35,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-04-02T07:55:45.762646,What is FAISS used for?,FAISS is a library developed by Facebook that enables extremely fast similarity search over millions of vector embeddings.,0.393,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-04-02T07:55:45.928419,Explain hybrid retrieval in this system,"RAG (Retrieval-Augmented Generation) is a powerful technique that first retrieves relevant document chunks using hybrid search (FAISS semantic + BM25 keyword) and then uses an LLM to generate accurate, grounded answers.",0.35,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-04-02T07:55:46.103062,What is Sentence-BERT?,Sentence-BERT is a model that converts text into dense vector embeddings so that sentences with similar meanings are close together in vector space.,0.35,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-04-02T07:58:23.117854,What is RAG and how does it work?,"RAG (Retrieval-Augmented Generation) is a powerful technique that first retrieves relevant document chunks using hybrid search (FAISS semantic + BM25 keyword) and then uses an LLM to generate accurate, grounded answers.",0.35,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-04-02T07:58:23.371490,What is FAISS used for?,I don't have enough relevant information in the uploaded documents to answer this question confidently.,0.35,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-04-02T07:58:23.563498,Explain hybrid retrieval in this system,"RAG (Retrieval-Augmented Generation) is a powerful technique that first retrieves relevant document chunks using hybrid search (FAISS semantic + BM25 keyword) and then uses an LLM to generate accurate, grounded answers.",0.35,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-04-02T07:58:23.749656,What is Sentence-BERT?,Sentence-BERT is a model that converts text into dense vector embeddings so that sentences with similar meanings are close together in vector space.,0.35,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-04-02T08:00:29.263159,What is RAG and how does it work?,"RAG (Retrieval-Augmented Generation) is a powerful technique that first retrieves relevant document chunks using hybrid search (FAISS semantic + BM25 keyword) and then uses an LLM to generate accurate, grounded answers.",0.35,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-04-02T08:00:29.452732,What is FAISS used for?,FAISS is a library developed by Facebook that enables extremely fast similarity search over millions of vector embeddings.,0.393,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-04-02T08:00:29.629240,Explain hybrid retrieval,"RAG (Retrieval-Augmented Generation) is a powerful technique that first retrieves relevant document chunks using hybrid search (FAISS semantic + BM25 keyword) and then uses an LLM to generate accurate, grounded answers.",0.35,"Weak retrieval, Low groundedness (possible hallucination)",pending
